id,module_code,title,category,topic_tags,target_group,description,faculty_tag,level_tag,study_level_match,module_level_number,credits,semester
514,FASS3013,Student Leadership Forum,Student Activity,"academic writing,writing,policy,leadership,innovation,industry",All Students,"Student Leadership Forum is an engagement opportunity for students interested in academic writing, writing, policy and broader campus participation.",Faculty of Arts and Social Sciences,Level 3000,Senior Students,3000,4,Semester 1
515,SDS3014,Level 3000 Advanced Data Design,Academic,"software engineering,data science,azure,professional",Senior Students,"Level 3000 Advanced Data Design is designed for senior students and focuses on software engineering, data science, azure within School of Digital Science.",School of Digital Science,Level 3000,Senior Students,3000,4,Semester 2
516,SCI3015,Student Wellbeing Support,Campus Service,"environment,biology,chemistry,student support,academic support,advanced",All Students,"Student Wellbeing Support provides university support services related to environment, biology, chemistry for the UBD community.",Faculty of Science,Level 3000,Senior Students,3000,4,Semester 1
517,SDS3016,Technology Showcase,Student Activity,"devops,software engineering,programming,leadership,innovation,professional",All Students,"Technology Showcase is an engagement opportunity for students interested in devops, software engineering, programming and broader campus participation.",School of Digital Science,Level 3000,Senior Students,3000,4,Semester 2
518,SDS3017,Level 3000 Advanced Cloud Applications,Academic,"python,data science,distributed systems,professional",Senior Students,"Level 3000 Advanced Cloud Applications is designed for senior students and focuses on python, data science, distributed systems within School of Digital Science.",School of Digital Science,Level 3000,Senior Students,3000,3,Semester 1
519,SDS3018,Learning Support Workshop,Campus Service,"programming,python,cloud,student support,academic support,advanced",All Students,"Learning Support Workshop provides university support services related to programming, python, cloud for the UBD community.",School of Digital Science,Level 3000,Senior Students,3000,3,Semester 2
520,SDS3019,Student Wellbeing Support,Campus Service,"devops,machine learning,software engineering,student support,academic support,industry",All Students,"Student Wellbeing Support provides university support services related to devops, machine learning, software engineering for the UBD community.",School of Digital Science,Level 3000,Senior Students,3000,3,Semester 1
521,FASS3020,Level 3000 Advanced Academic Studies,Academic,"critical thinking,academic writing,history,advanced",Senior Students,"Level 3000 Advanced Academic Studies is designed for senior students and focuses on critical thinking, academic writing, history within Faculty of Arts and Social Sciences.",Faculty of Arts and Social Sciences,Level 3000,Senior Students,3000,4,Semester 1
522,SCI3021,Level 3000 Advanced Chemistry Investigations,Academic,"chemistry,statistics,lab work,project",Senior Students,"Level 3000 Advanced Chemistry Investigations is designed for senior students and focuses on chemistry, statistics, lab work within Faculty of Science.",Faculty of Science,Level 3000,Senior Students,3000,4,Semester 2
523,SDS3022,Level 3000 Advanced Systems Architecture,Academic,"devops,python,distributed systems,professional",Senior Students,"Level 3000 Advanced Systems Architecture is designed for senior students and focuses on devops, python, distributed systems within School of Digital Science.",School of Digital Science,Level 3000,Senior Students,3000,3,Semester 1
524,SBE3023,Level 3000 Advanced Strategic Practice,Academic,"finance,entrepreneurship,management,professional",Senior Students,"Level 3000 Advanced Strategic Practice is designed for senior students and focuses on finance, entrepreneurship, management within School of Business and Economics.",School of Business and Economics,Level 3000,Senior Students,3000,3,Semester 2
525,SBE3024,Internship Preparation Workshop,Career,"analytics,marketing,entrepreneurship,career,employability,professional skills,advanced",Senior Students,"Internship Preparation Workshop supports senior students in preparing for internships, employment, and professional development.",School of Business and Economics,Level 3000,Senior Students,3000,4,Semester 1
526,SCI3025,Campus Guidance Briefing,Campus Service,"research,statistics,experimentation,student support,academic support,project",All Students,"Campus Guidance Briefing provides university support services related to research, statistics, experimentation for the UBD community.",Faculty of Science,Level 3000,Senior Students,3000,3,Semester 1
527,SBE3026,Professional Skills Lab,Career,"innovation,finance,entrepreneurship,career,employability,professional skills,advanced",Senior Students,"Professional Skills Lab supports senior students in preparing for internships, employment, and professional development.",School of Business and Economics,Level 3000,Senior Students,3000,3,Semester 2
528,SDS3027,Level 3000 Advanced Cloud Mining,Academic,"data science,analytics,sql,project",Senior Students,"Level 3000 Advanced Cloud Mining is designed for senior students and focuses on data science, analytics, sql within School of Digital Science.",School of Digital Science,Level 3000,Senior Students,3000,3,Semester 1
529,SBE3028,Level 3000 Advanced Marketing Planning,Academic,"innovation,leadership,business,project",Senior Students,"Level 3000 Advanced Marketing Planning is designed for senior students and focuses on innovation, leadership, business within School of Business and Economics.",School of Business and Economics,Level 3000,Senior Students,3000,4,Semester 1
530,SCI3029,Level 3000 Advanced Quantitative Systems,Academic,"biology,scientific methods,data analysis,industry",Senior Students,"Level 3000 Advanced Quantitative Systems is designed for senior students and focuses on biology, scientific methods, data analysis within Faculty of Science.",Faculty of Science,Level 3000,Senior Students,3000,4,Semester 1
531,SBE3030,Library Research Support,Campus Service,"economics,business,management,student support,academic support,professional",All Students,"Library Research Support provides university support services related to economics, business, management for the UBD community.",School of Business and Economics,Level 3000,Senior Students,3000,4,Semester 2
532,SDS3031,Level 3000 Advanced Analytics Development,Academic,"distributed systems,cybersecurity,azure,industry",Senior Students,"Level 3000 Advanced Analytics Development is designed for senior students and focuses on distributed systems, cybersecurity, azure within School of Digital Science.",School of Digital Science,Level 3000,Senior Students,3000,4,Semester 2
533,FASS3032,Level 3000 Advanced Critical Practice,Academic,"culture,policy,media,professional",Senior Students,"Level 3000 Advanced Critical Practice is designed for senior students and focuses on culture, policy, media within Faculty of Arts and Social Sciences.",Faculty of Arts and Social Sciences,Level 3000,Senior Students,3000,3,Semester 2
534,SBE3033,Student Wellbeing Support,Campus Service,"leadership,marketing,economics,student support,academic support,project",All Students,"Student Wellbeing Support provides university support services related to leadership, marketing, economics for the UBD community.",School of Business and Economics,Level 3000,Senior Students,3000,4,Semester 1
535,SCI3034,Student Leadership Forum,Student Activity,"environment,data analysis,physics,leadership,innovation,project",All Students,"Student Leadership Forum is an engagement opportunity for students interested in environment, data analysis, physics and broader campus participation.",Faculty of Science,Level 3000,Senior Students,3000,4,Semester 1
536,SBE3035,Level 3000 Advanced Innovation Applications,Academic,"economics,finance,marketing,project",Senior Students,"Level 3000 Advanced Innovation Applications is designed for senior students and focuses on economics, finance, marketing within School of Business and Economics.",School of Business and Economics,Level 3000,Senior Students,3000,4,Semester 1
537,SBE3036,Level 3000 Advanced Innovation Analysis,Academic,"management,finance,analytics,industry",Senior Students,"Level 3000 Advanced Innovation Analysis is designed for senior students and focuses on management, finance, analytics within School of Business and Economics.",School of Business and Economics,Level 3000,Senior Students,3000,3,Semester 1
538,FASS3037,Career Development Seminar,Career,"literature,policy,writing,career,employability,professional skills,project",Senior Students,"Career Development Seminar supports senior students in preparing for internships, employment, and professional development.",Faculty of Arts and Social Sciences,Level 3000,Senior Students,3000,4,Semester 2
539,FASS3038,Innovation Challenge,Student Activity,"academic writing,sociology,history,leadership,innovation,project",All Students,"Innovation Challenge is an engagement opportunity for students interested in academic writing, sociology, history and broader campus participation.",Faculty of Arts and Social Sciences,Level 3000,Senior Students,3000,4,Semester 2
540,SCI3039,Level 3000 Advanced Biology Research,Academic,"statistics,scientific methods,physics,industry",Senior Students,"Level 3000 Advanced Biology Research is designed for senior students and focuses on statistics, scientific methods, physics within Faculty of Science.",Faculty of Science,Level 3000,Senior Students,3000,4,Semester 2
541,SCI3040,Level 3000 Advanced Scientific Applications,Academic,"environment,experimentation,chemistry,advanced",Senior Students,"Level 3000 Advanced Scientific Applications is designed for senior students and focuses on environment, experimentation, chemistry within Faculty of Science.",Faculty of Science,Level 3000,Senior Students,3000,4,Semester 2
542,SCI3041,Student Leadership Forum,Student Activity,"data analysis,scientific methods,environment,leadership,innovation,industry",All Students,"Student Leadership Forum is an engagement opportunity for students interested in data analysis, scientific methods, environment and broader campus participation.",Faculty of Science,Level 3000,Senior Students,3000,3,Semester 1
543,SBE3042,Technology Showcase,Student Activity,"leadership,finance,innovation,industry",All Students,"Technology Showcase is an engagement opportunity for students interested in leadership, finance, innovation and broader campus participation.",School of Business and Economics,Level 3000,Senior Students,3000,3,Semester 2
544,FASS3043,Research Poster Session,Student Activity,"critical thinking,innovation,history,leadership,advanced",All Students,"Research Poster Session is an engagement opportunity for students interested in critical thinking, innovation, history and broader campus participation.",Faculty of Arts and Social Sciences,Level 3000,Senior Students,3000,4,Semester 2
545,SDS3044,Level 3000 Advanced Data Applications,Academic,"analytics,web development,azure,project",Senior Students,"Level 3000 Advanced Data Applications is designed for senior students and focuses on analytics, web development, azure within School of Digital Science.",School of Digital Science,Level 3000,Senior Students,3000,4,Semester 2
546,SCI3045,Level 3000 Advanced Laboratory Techniques,Academic,"lab work,scientific methods,research,professional",Senior Students,"Level 3000 Advanced Laboratory Techniques is designed for senior students and focuses on lab work, scientific methods, research within Faculty of Science.",Faculty of Science,Level 3000,Senior Students,3000,4,Semester 2
547,SCI3046,Learning Support Workshop,Campus Service,"statistics,chemistry,experimentation,student support,academic support,project",All Students,"Learning Support Workshop provides university support services related to statistics, chemistry, experimentation for the UBD community.",Faculty of Science,Level 3000,Senior Students,3000,3,Semester 2
548,SDS3047,Level 3000 Advanced Software Computing,Academic,"analytics,web development,distributed systems,advanced",Senior Students,"Level 3000 Advanced Software Computing is designed for senior students and focuses on analytics, web development, distributed systems within School of Digital Science.",School of Digital Science,Level 3000,Senior Students,3000,4,Semester 1
549,FASS3048,Level 3000 Advanced Research Inquiry,Academic,"culture,innovation,sociology,professional",Senior Students,"Level 3000 Advanced Research Inquiry is designed for senior students and focuses on culture, innovation, sociology within Faculty of Arts and Social Sciences.",Faculty of Arts and Social Sciences,Level 3000,Senior Students,3000,4,Semester 1
550,FASS3049,Professional Skills Lab,Career,"communication,innovation,history,career,employability,professional skills,professional",Senior Students,"Professional Skills Lab supports senior students in preparing for internships, employment, and professional development.",Faculty of Arts and Social Sciences,Level 3000,Senior Students,3000,3,Semester 1
551,FASS3050,Level 3000 Advanced Writing Perspectives,Academic,"history,policy,writing,professional",Senior Students,"Level 3000 Advanced Writing Perspectives is designed for senior students and focuses on history, policy, writing within Faculty of Arts and Social Sciences.",Faculty of Arts and Social Sciences,Level 3000,Senior Students,3000,3,Semester 2
552,FASS3051,Level 3000 Advanced Research Projects,Academic,"academic writing,policy,innovation,project",Senior Students,"Level 3000 Advanced Research Projects is designed for senior students and focuses on academic writing, policy, innovation within Faculty of Arts and Social Sciences.",Faculty of Arts and Social Sciences,Level 3000,Senior Students,3000,4,Semester 2
553,SCI3052,Level 3000 Advanced Biology Analysis,Academic,"data analysis,chemistry,lab work,project",Senior Students,"Level 3000 Advanced Biology Analysis is designed for senior students and focuses on data analysis, chemistry, lab work within Faculty of Science.",Faculty of Science,Level 3000,Senior Students,3000,4,Semester 1
554,SDS3053,Level 3000 Advanced Analytics Infrastructure,Academic,"cloud,sql,python,professional",Senior Students,"Level 3000 Advanced Analytics Infrastructure is designed for senior students and focuses on cloud, sql, python within School of Digital Science.",School of Digital Science,Level 3000,Senior Students,3000,3,Semester 1
555,SDS3054,Level 3000 Advanced Programming Computing,Academic,"cloud,data science,programming,professional",Senior Students,"Level 3000 Advanced Programming Computing is designed for senior students and focuses on cloud, data science, programming within School of Digital Science.",School of Digital Science,Level 3000,Senior Students,3000,3,Semester 1
556,SDS3055,Interview Readiness Session,Career,"azure,distributed systems,machine learning,career,employability,professional skills,project",Senior Students,"Interview Readiness Session supports senior students in preparing for internships, employment, and professional development.",School of Digital Science,Level 3000,Senior Students,3000,3,Semester 1
557,FASS3056,Library Research Support,Campus Service,"research,media,academic writing,student support,academic support,professional",All Students,"Library Research Support provides university support services related to research, media, academic writing for the UBD community.",Faculty of Arts and Social Sciences,Level 3000,Senior Students,3000,4,Semester 1
558,FASS3057,Innovation Challenge,Student Activity,"innovation,sociology,critical thinking,leadership,professional",All Students,"Innovation Challenge is an engagement opportunity for students interested in innovation, sociology, critical thinking and broader campus participation.",Faculty of Arts and Social Sciences,Level 3000,Senior Students,3000,4,Semester 1
559,SCI3058,Internship Preparation Workshop,Career,"environment,experimentation,statistics,career,employability,professional skills,professional",Senior Students,"Internship Preparation Workshop supports senior students in preparing for internships, employment, and professional development.",Faculty of Science,Level 3000,Senior Students,3000,4,Semester 1
560,SCI3059,Level 3000 Advanced Laboratory Research,Academic,"chemistry,statistics,research,project",Senior Students,"Level 3000 Advanced Laboratory Research is designed for senior students and focuses on chemistry, statistics, research within Faculty of Science.",Faculty of Science,Level 3000,Senior Students,3000,3,Semester 2
561,SBE3060,Career Development Seminar,Career,"leadership,business,analytics,career,employability,professional skills,project",Senior Students,"Career Development Seminar supports senior students in preparing for internships, employment, and professional development.",School of Business and Economics,Level 3000,Senior Students,3000,3,Semester 2
562,SDS3061,Level 3000 Advanced Software Development,Academic,"analytics,sql,machine learning,project",Senior Students,"Level 3000 Advanced Software Development is designed for senior students and focuses on analytics, sql, machine learning within School of Digital Science.",School of Digital Science,Level 3000,Senior Students,3000,4,Semester 1
563,SCI3062,Level 3000 Advanced Laboratory Techniques,Academic,"data analysis,biology,lab work,advanced",Senior Students,"Level 3000 Advanced Laboratory Techniques is designed for senior students and focuses on data analysis, biology, lab work within Faculty of Science.",Faculty of Science,Level 3000,Senior Students,3000,3,Semester 2
564,SBE3063,Level 3000 Advanced Entrepreneurship Applications,Academic,"economics,entrepreneurship,strategy,project",Senior Students,"Level 3000 Advanced Entrepreneurship Applications is designed for senior students and focuses on economics, entrepreneurship, strategy within School of Business and Economics.",School of Business and Economics,Level 3000,Senior Students,3000,4,Semester 2
565,SDS3064,Academic Advisory Session,Campus Service,"cloud,sql,python,student support,academic support,professional",All Students,"Academic Advisory Session provides university support services related to cloud, sql, python for the UBD community.",School of Digital Science,Level 3000,Senior Students,3000,4,Semester 1
566,SDS3065,Technology Showcase,Student Activity,"data science,web development,analytics,leadership,innovation,industry",All Students,"Technology Showcase is an engagement opportunity for students interested in data science, web development, analytics and broader campus participation.",School of Digital Science,Level 3000,Senior Students,3000,3,Semester 2
567,SCI3066,Student Leadership Forum,Student Activity,"scientific methods,statistics,physics,leadership,innovation,industry",All Students,"Student Leadership Forum is an engagement opportunity for students interested in scientific methods, statistics, physics and broader campus participation.",Faculty of Science,Level 3000,Senior Students,3000,4,Semester 1
568,SBE3067,Interview Readiness Session,Career,"economics,marketing,strategy,career,employability,professional skills,professional",Senior Students,"Interview Readiness Session supports senior students in preparing for internships, employment, and professional development.",School of Business and Economics,Level 3000,Senior Students,3000,3,Semester 2
569,SBE3068,Level 3000 Advanced Economic Decision Making,Academic,"economics,marketing,entrepreneurship,industry",Senior Students,"Level 3000 Advanced Economic Decision Making is designed for senior students and focuses on economics, marketing, entrepreneurship within School of Business and Economics.",School of Business and Economics,Level 3000,Senior Students,3000,4,Semester 2
570,SDS3069,Campus Guidance Briefing,Campus Service,"programming,azure,distributed systems,student support,academic support,professional",All Students,"Campus Guidance Briefing provides university support services related to programming, azure, distributed systems for the UBD community.",School of Digital Science,Level 3000,Senior Students,3000,4,Semester 2
571,SDS3070,Level 3000 Advanced AI Design,Academic,"data science,devops,sql,industry",Senior Students,"Level 3000 Advanced AI Design is designed for senior students and focuses on data science, devops, sql within School of Digital Science.",School of Digital Science,Level 3000,Senior Students,3000,3,Semester 1
572,SCI3071,Level 3000 Advanced Quantitative Foundations,Academic,"scientific methods,environment,biology,industry",Senior Students,"Level 3000 Advanced Quantitative Foundations is designed for senior students and focuses on scientific methods, environment, biology within Faculty of Science.",Faculty of Science,Level 3000,Senior Students,3000,3,Semester 1
573,FASS3072,Level 3000 Advanced Media Analysis,Academic,"culture,innovation,media,industry",Senior Students,"Level 3000 Advanced Media Analysis is designed for senior students and focuses on culture, innovation, media within Faculty of Arts and Social Sciences.",Faculty of Arts and Social Sciences,Level 3000,Senior Students,3000,4,Semester 1
574,FASS3073,CV and Portfolio Review,Career,"history,policy,literature,career,employability,professional skills,professional",Senior Students,"CV and Portfolio Review supports senior students in preparing for internships, employment, and professional development.",Faculty of Arts and Social Sciences,Level 3000,Senior Students,3000,3,Semester 1
575,SDS3074,Research Poster Session,Student Activity,"azure,distributed systems,sql,leadership,innovation,project",All Students,"Research Poster Session is an engagement opportunity for students interested in azure, distributed systems, sql and broader campus participation.",School of Digital Science,Level 3000,Senior Students,3000,3,Semester 2
576,SCI3075,Student Leadership Forum,Student Activity,"experimentation,physics,data analysis,leadership,innovation,project",All Students,"Student Leadership Forum is an engagement opportunity for students interested in experimentation, physics, data analysis and broader campus participation.",Faculty of Science,Level 3000,Senior Students,3000,3,Semester 1
577,FASS3076,Level 3000 Advanced Social Writing,Academic,"media,history,critical thinking,project",Senior Students,"Level 3000 Advanced Social Writing is designed for senior students and focuses on media, history, critical thinking within Faculty of Arts and Social Sciences.",Faculty of Arts and Social Sciences,Level 3000,Senior Students,3000,3,Semester 2
578,FASS3077,Level 3000 Advanced Communication Studies,Academic,"sociology,writing,history,project",Senior Students,"Level 3000 Advanced Communication Studies is designed for senior students and focuses on sociology, writing, history within Faculty of Arts and Social Sciences.",Faculty of Arts and Social Sciences,Level 3000,Senior Students,3000,3,Semester 1
579,SDS3078,Student Wellbeing Support,Campus Service,"cloud,cybersecurity,web development,student support,academic support,advanced",All Students,"Student Wellbeing Support provides university support services related to cloud, cybersecurity, web development for the UBD community.",School of Digital Science,Level 3000,Senior Students,3000,3,Semester 1
580,SCI3079,Student Wellbeing Support,Campus Service,"lab work,chemistry,biology,student support,academic support,project",All Students,"Student Wellbeing Support provides university support services related to lab work, chemistry, biology for the UBD community.",Faculty of Science,Level 3000,Senior Students,3000,4,Semester 1
581,SBE3080,Level 3000 Advanced Finance Analysis,Academic,"entrepreneurship,finance,marketing,professional",Senior Students,"Level 3000 Advanced Finance Analysis is designed for senior students and focuses on entrepreneurship, finance, marketing within School of Business and Economics.",School of Business and Economics,Level 3000,Senior Students,3000,4,Semester 1
582,FASS3081,Level 3000 Advanced Research Analysis,Academic,"culture,research,innovation,industry",Senior Students,"Level 3000 Advanced Research Analysis is designed for senior students and focuses on culture, research, innovation within Faculty of Arts and Social Sciences.",Faculty of Arts and Social Sciences,Level 3000,Senior Students,3000,3,Semester 1
583,FASS3082,Career Development Seminar,Career,"critical thinking,research,culture,career,employability,professional skills,industry",Senior Students,"Career Development Seminar supports senior students in preparing for internships, employment, and professional development.",Faculty of Arts and Social Sciences,Level 3000,Senior Students,3000,4,Semester 2
584,SCI3083,Level 3000 Advanced Biology Investigations,Academic,"statistics,environment,chemistry,professional",Senior Students,"Level 3000 Advanced Biology Investigations is designed for senior students and focuses on statistics, environment, chemistry within Faculty of Science.",Faculty of Science,Level 3000,Senior Students,3000,4,Semester 1
585,SDS3084,Level 3000 Advanced Programming Infrastructure,Academic,"machine learning,programming,sql,advanced",Senior Students,"Level 3000 Advanced Programming Infrastructure is designed for senior students and focuses on machine learning, programming, sql within School of Digital Science.",School of Digital Science,Level 3000,Senior Students,3000,4,Semester 2
586,SDS3085,Entrepreneurship Seminar,Student Activity,"machine learning,azure,sql,leadership,innovation,project",All Students,"Entrepreneurship Seminar is an engagement opportunity for students interested in machine learning, azure, sql and broader campus participation.",School of Digital Science,Level 3000,Senior Students,3000,4,Semester 1
587,FASS3086,Entrepreneurship Seminar,Student Activity,"media,writing,innovation,leadership,industry",All Students,"Entrepreneurship Seminar is an engagement opportunity for students interested in media, writing, innovation and broader campus participation.",Faculty of Arts and Social Sciences,Level 3000,Senior Students,3000,3,Semester 2
588,SDS3087,Academic Advisory Session,Campus Service,"python,cloud,sql,student support,academic support,professional",All Students,"Academic Advisory Session provides university support services related to python, cloud, sql for the UBD community.",School of Digital Science,Level 3000,Senior Students,3000,3,Semester 2
589,SDS3088,Level 3000 Advanced Software Mining,Academic,"devops,python,web development,advanced",Senior Students,"Level 3000 Advanced Software Mining is designed for senior students and focuses on devops, python, web development within School of Digital Science.",School of Digital Science,Level 3000,Senior Students,3000,4,Semester 2
590,SDS3089,Innovation Challenge,Student Activity,"cybersecurity,devops,web development,leadership,innovation,project",All Students,"Innovation Challenge is an engagement opportunity for students interested in cybersecurity, devops, web development and broader campus participation.",School of Digital Science,Level 3000,Senior Students,3000,3,Semester 2
591,SCI3090,Student Leadership Forum,Student Activity,"experimentation,data analysis,lab work,leadership,innovation,advanced",All Students,"Student Leadership Forum is an engagement opportunity for students interested in experimentation, data analysis, lab work and broader campus participation.",Faculty of Science,Level 3000,Senior Students,3000,3,Semester 1
592,FASS3091,Level 3000 Advanced Communication Writing,Academic,"history,media,innovation,advanced",Senior Students,"Level 3000 Advanced Communication Writing is designed for senior students and focuses on history, media, innovation within Faculty of Arts and Social Sciences.",Faculty of Arts and Social Sciences,Level 3000,Senior Students,3000,4,Semester 1
593,SBE3092,Level 3000 Advanced Innovation Systems,Academic,"entrepreneurship,economics,leadership,professional",Senior Students,"Level 3000 Advanced Innovation Systems is designed for senior students and focuses on entrepreneurship, economics, leadership within School of Business and Economics.",School of Business and Economics,Level 3000,Senior Students,3000,3,Semester 2
594,SDS3093,Graduate Employability Clinic,Career,"distributed systems,sql,machine learning,career,employability,professional skills,project",Senior Students,"Graduate Employability Clinic supports senior students in preparing for internships, employment, and professional development.",School of Digital Science,Level 3000,Senior Students,3000,4,Semester 1
595,FASS3094,Learning Support Workshop,Campus Service,"history,literature,media,student support,academic support,professional",All Students,"Learning Support Workshop provides university support services related to history, literature, media for the UBD community.",Faculty of Arts and Social Sciences,Level 3000,Senior Students,3000,4,Semester 2
596,FASS3095,Professional Skills Lab,Career,"writing,research,academic writing,career,employability,professional skills,project",Senior Students,"Professional Skills Lab supports senior students in preparing for internships, employment, and professional development.",Faculty of Arts and Social Sciences,Level 3000,Senior Students,3000,4,Semester 1
597,FASS3096,Level 3000 Advanced Social Methods,Academic,"policy,sociology,history,professional",Senior Students,"Level 3000 Advanced Social Methods is designed for senior students and focuses on policy, sociology, history within Faculty of Arts and Social Sciences.",Faculty of Arts and Social Sciences,Level 3000,Senior Students,3000,4,Semester 1
598,SDS3097,Level 3000 Advanced Software Mining,Academic,"analytics,python,sql,advanced",Senior Students,"Level 3000 Advanced Software Mining is designed for senior students and focuses on analytics, python, sql within School of Digital Science.",School of Digital Science,Level 3000,Senior Students,3000,3,Semester 2
599,SBE3098,Innovation Challenge,Student Activity,"economics,strategy,innovation,leadership,project",All Students,"Innovation Challenge is an engagement opportunity for students interested in economics, strategy, innovation and broader campus participation.",School of Business and Economics,Level 3000,Senior Students,3000,3,Semester 2
600,SCI3099,Academic Advisory Session,Campus Service,"chemistry,experimentation,research,student support,academic support,advanced",All Students,"Academic Advisory Session provides university support services related to chemistry, experimentation, research for the UBD community.",Faculty of Science,Level 3000,Senior Students,3000,3,Semester 1
601,FASS3000,Level 3000 Advanced Communication Projects,Academic,"critical thinking,writing,history,industry",Senior Students,"Level 3000 Advanced Communication Projects is designed for senior students and focuses on critical thinking, writing, history within Faculty of Arts and Social Sciences.",Faculty of Arts and Social Sciences,Level 3000,Senior Students,3000,3,Semester 1
602,FASS3001,Level 3000 Advanced Communication Writing,Academic,"policy,media,writing,professional",Senior Students,"Level 3000 Advanced Communication Writing is designed for senior students and focuses on policy, media, writing within Faculty of Arts and Social Sciences.",Faculty of Arts and Social Sciences,Level 3000,Senior Students,3000,4,Semester 1
603,SDS3002,Level 3000 Advanced Systems Architecture,Academic,"devops,web development,programming,project",Senior Students,"Level 3000 Advanced Systems Architecture is designed for senior students and focuses on devops, web development, programming within School of Digital Science.",School of Digital Science,Level 3000,Senior Students,3000,3,Semester 1
604,SDS3003,Entrepreneurship Seminar,Student Activity,"python,machine learning,azure,leadership,innovation,project",All Students,"Entrepreneurship Seminar is an engagement opportunity for students interested in python, machine learning, azure and broader campus participation.",School of Digital Science,Level 3000,Senior Students,3000,4,Semester 2
605,SCI3004,Innovation Challenge,Student Activity,"physics,experimentation,data analysis,leadership,innovation,professional",All Students,"Innovation Challenge is an engagement opportunity for students interested in physics, experimentation, data analysis and broader campus participation.",Faculty of Science,Level 3000,Senior Students,3000,3,Semester 1
606,SCI3005,Level 3000 Advanced Chemistry Systems,Academic,"data analysis,biology,chemistry,professional",Senior Students,"Level 3000 Advanced Chemistry Systems is designed for senior students and focuses on data analysis, biology, chemistry within Faculty of Science.",Faculty of Science,Level 3000,Senior Students,3000,4,Semester 2
607,SCI3006,Innovation Challenge,Student Activity,"statistics,environment,physics,leadership,innovation,advanced",All Students,"Innovation Challenge is an engagement opportunity for students interested in statistics, environment, physics and broader campus participation.",Faculty of Science,Level 3000,Senior Students,3000,3,Semester 1
608,SCI3007,Level 3000 Advanced Chemistry Techniques,Academic,"lab work,experimentation,research,professional",Senior Students,"Level 3000 Advanced Chemistry Techniques is designed for senior students and focuses on lab work, experimentation, research within Faculty of Science.",Faculty of Science,Level 3000,Senior Students,3000,3,Semester 1
609,SDS3008,Academic Advisory Session,Campus Service,"web development,software engineering,sql,student support,academic support,industry",All Students,"Academic Advisory Session provides university support services related to web development, software engineering, sql for the UBD community.",School of Digital Science,Level 3000,Senior Students,3000,4,Semester 2
610,FASS3009,Interview Readiness Session,Career,"critical thinking,culture,sociology,career,employability,professional skills,industry",Senior Students,"Interview Readiness Session supports senior students in preparing for internships, employment, and professional development.",Faculty of Arts and Social Sciences,Level 3000,Senior Students,3000,3,Semester 2
611,SBE3010,Level 3000 Advanced Strategic Practice,Academic,"finance,marketing,entrepreneurship,advanced",Senior Students,"Level 3000 Advanced Strategic Practice is designed for senior students and focuses on finance, marketing, entrepreneurship within School of Business and Economics.",School of Business and Economics,Level 3000,Senior Students,3000,4,Semester 2
612,SDS3011,Level 3000 Advanced Systems Architecture,Academic,"data science,programming,software engineering,project",Senior Students,"Level 3000 Advanced Systems Architecture is designed for senior students and focuses on data science, programming, software engineering within School of Digital Science.",School of Digital Science,Level 3000,Senior Students,3000,4,Semester 1
613,SBE3012,Library Research Support,Campus Service,"economics,leadership,marketing,student support,academic support,professional",All Students,"Library Research Support provides university support services related to economics, leadership, marketing for the UBD community.",School of Business and Economics,Level 3000,Senior Students,3000,4,Semester 1
614,SDS3013,Level 3000 Advanced Software Development,Academic,"devops,distributed systems,cybersecurity,professional",Senior Students,"Level 3000 Advanced Software Development is designed for senior students and focuses on devops, distributed systems, cybersecurity within School of Digital Science.",School of Digital Science,Level 3000,Senior Students,3000,4,Semester 1
615,SDS3014,Research Poster Session,Student Activity,"machine learning,cybersecurity,web development,leadership,innovation,professional",All Students,"Research Poster Session is an engagement opportunity for students interested in machine learning, cybersecurity, web development and broader campus participation.",School of Digital Science,Level 3000,Senior Students,3000,4,Semester 1
616,SDS3015,Level 3000 Advanced AI Applications,Academic,"distributed systems,data science,sql,project",Senior Students,"Level 3000 Advanced AI Applications is designed for senior students and focuses on distributed systems, data science, sql within School of Digital Science.",School of Digital Science,Level 3000,Senior Students,3000,4,Semester 1
617,SCI3016,Level 3000 Advanced Environmental Systems,Academic,"lab work,research,chemistry,industry",Senior Students,"Level 3000 Advanced Environmental Systems is designed for senior students and focuses on lab work, research, chemistry within Faculty of Science.",Faculty of Science,Level 3000,Senior Students,3000,4,Semester 2
618,FASS3017,Level 3000 Advanced Communication Perspectives,Academic,"writing,literature,policy,industry",Senior Students,"Level 3000 Advanced Communication Perspectives is designed for senior students and focuses on writing, literature, policy within Faculty of Arts and Social Sciences.",Faculty of Arts and Social Sciences,Level 3000,Senior Students,3000,4,Semester 2
619,SCI3018,Internship Preparation Workshop,Career,"physics,environment,scientific methods,career,employability,professional skills,advanced",Senior Students,"Internship Preparation Workshop supports senior students in preparing for internships, employment, and professional development.",Faculty of Science,Level 3000,Senior Students,3000,4,Semester 1
620,SCI3019,Student Leadership Forum,Student Activity,"research,physics,statistics,leadership,innovation,industry",All Students,"Student Leadership Forum is an engagement opportunity for students interested in research, physics, statistics and broader campus participation.",Faculty of Science,Level 3000,Senior Students,3000,4,Semester 1
621,SBE3020,Campus Guidance Briefing,Campus Service,"entrepreneurship,management,innovation,student support,academic support,advanced",All Students,"Campus Guidance Briefing provides university support services related to entrepreneurship, management, innovation for the UBD community.",School of Business and Economics,Level 3000,Senior Students,3000,3,Semester 1
